,count,mean,std,min,25%,50%,75%,max
bat_landing_to_food,907.0,11.713133940775084,27.644409680199587,0.010238211,1.0,4.0,11.5,443.0
seconds_after_rat_arrival,907.0,282.877618522602,240.97491789563483,0.0,89.5,206.0,446.5,949.0
risk,907.0,0.49503858875413453,0.5002512323010876,0.0,0.0,0.0,1.0,1.0
reward,907.0,0.5336273428886439,0.49914315769974527,0.0,0.0,1.0,1.0,1.0
month,3030.0,3.2983498349834983,1.557979465922033,0.0,2.0,4.0,5.0,6.0
hours_after_sunset,3030.0,5.345181426468977,3.6603510584266807,-2.0,2.5,5.5,8.0,13.5
season,907.0,0.8335170893054025,0.37271908306958706,0.0,1.0,1.0,1.0,1.0
rat_presence_duration,907.0,550.7828004410144,375.3022978922277,0.0,240.0,540.0,780.0,3540.0
response_delay,907.0,11.713133940775084,27.644409680199587,0.010238211,1.0,4.0,11.5,443.0
bat_landing_number,2123.0,32.08337258596326,25.6144310454375,0.0,11.0,27.0,48.0,178.0
food_availability,2123.0,2.445874427835139,1.218352760981965,0.0,1.9622063765,2.951877314,3.105872622,4.0
rat_minutes,2123.0,1.9944418275581723,6.793397356871648,0.0,0.0,0.0,0.1583333335,120.0
rat_arrival_number,2123.0,0.44465379180405085,1.0191953222377623,0.0,0.0,0.0,1.0,17.0
